user.screen_name,text,entities.urls.0.expanded_url
Twt_Lab,RT @trendinaliaIT: Sapevi che #ConvegnoStelline si è mantenuto come Tendenza in Italy per 11 ore giovedì 16? https://t.co/3pdjb3svbu #trndnl,http://www.trendinalia.com/twitter-trending-topics/italy/italy-170316.html
trendinaliaIT,Sapevi che #ConvegnoStelline si è mantenuto come Tendenza in Italy per 11 ore giovedì 16? https://t.co/3pdjb3svbu #trndnl,http://www.trendinalia.com/twitter-trending-topics/italy/italy-170316.html
trendinaliaFCO,Il hashtag #ConvegnoStelline occupò la posizione 20 nel Top20 delle Tendenze di Roma giovedì 16: https://t.co/fRAmzFtciS #trndnl,http://www.trendinalia.com/twitter-trending-topics/italy/rome-170316.html
trendinaliaFCO,Sapevi che #ConvegnoStelline si è mantenuto come Tendenza a Roma per 10 ore giovedì 16? https://t.co/fRAmzFtciS #trndnl,http://www.trendinalia.com/twitter-trending-topics/italy/rome-170316.html
Twt_Lab,RT @M_L_O_L: @ArnetoliClaudia grazie! Qui il modulo per i suggerimenti su #openMLOL https://t.co/V25kpxXHIJ #ConvegnoStelline,https://openmlol.it/Suggest
M_L_O_L,@ArnetoliClaudia grazie! Qui il modulo per i suggerimenti su #openMLOL https://t.co/V25kpxXHIJ #ConvegnoStelline,https://openmlol.it/Suggest
ArnetoliClaudia,RT @M_L_O_L: @ArnetoliClaudia grazie! Qui il modulo per i suggerimenti su #openMLOL https://t.co/V25kpxXHIJ #ConvegnoStelline,https://openmlol.it/Suggest
AmandinemJac,@eblida  @CStelline https://t.co/DVKhfXNKPN,https://twitter.com/23cose/status/842647965722402816
AmandinemJac,@ManentiEnrica https://t.co/LXOUfF9Ptw,https://twitter.com/AmandinemJac/status/842307041918107648
CStelline,RT @AmandinemJac: #ConvegnoStelline @eblida @CStelline @ManentiEnrica https://t.co/egUaFVhbDr,https://twitter.com/AmandinemJac/status/842313771230064640
AmandinemJac,#ConvegnoStelline @eblida @CStelline @ManentiEnrica https://t.co/egUaFVhbDr,https://twitter.com/AmandinemJac/status/842313771230064640
eblida,Axel Kaschte from #OCLC globalization of #metadata management  #ConvegnoStelline @eblida  @CStelline  @OCLC https://t.co/9JRy16Taw7,https://twitter.com/AmandinemJac/status/842332098404966402
AmandinemJac,@nicolacavalli https://t.co/1Flsv2X2ZT,https://twitter.com/AmandinemJac/status/842708713563721731
AmandinemJac,@eblida https://t.co/HOAhC8IzQM,https://twitter.com/CStelline/status/831462369985433601
Paola_Barsotti,Ma quanto belle sono le bibliotecarie #iuav!! https://t.co/ah0Ph0lLA8,https://twitter.com/CStelline/status/842384622352752640
BibliotecaIuav,"@BibliotecaIuav a @CStelline, Carla #Pezzin https://t.co/63y7iiWJu1",https://twitter.com/CStelline/status/842384622352752640
Paola_Barsotti,"#bibliotecarie #iuav al @CStelline: si difendono bene, non c'è che dire! #ConvegnoStelline 2017 https://t.co/ah0Ph0lLA8",https://twitter.com/CStelline/status/842384622352752640
Twt_Lab,"RT @Paola_Barsotti: #bibliotecarie #iuav al @CStelline: si difendono bene, non c'è che dire! #ConvegnoStelline 2017 https://t.co/ah0Ph0lLA8",https://twitter.com/CStelline/status/842384622352752640
le12querce,"un bel corZo di diZZione no eh?

#ImbarazzoStelline https://t.co/YphqIkNkpw",https://twitter.com/CStelline/status/842388300828667904
MovimentoArtur1,Mischiare lavoro e... hobby ;-) https://t.co/FFtCyEcfyM,https://twitter.com/CStelline/status/842389863022362624
atomotic,"translated: ""nowadays #libraries are the most subversive place in the United States"" https://t.co/ETgHARqxFM",https://twitter.com/CStelline/status/842676655009218561
